"HHID","SID","personality__satisfaction_satHealth.2005","personality__satisfaction_satHealth.2009","personality__satisfaction_satHealth.2013","personality__satisfaction_satIncome.2005","personality__satisfaction_satIncome.2009","personality__satisfaction_satIncome.2013","personality__satisfaction_satLife.2005","personality__satisfaction_satLife.2009","personality__satisfaction_satLife.2013","personality__A_coarse.2005","personality__A_coarse.2009","personality__A_coarse.2013","personality__A_forgive.2005","personality__A_forgive.2009","personality__A_forgive.2013","personality__A_friendly.2005","personality__A_friendly.2009","personality__A_friendly.2013","personality__C_efficient.2005","personality__C_efficient.2009","personality__C_efficient.2013","personality__C_lazy.2005","personality__C_lazy.2009","personality__C_lazy.2013","personality__C_thorough.2005","personality__C_thorough.2009","personality__C_thorough.2013","personality__E_cmmnctv.2005","personality__E_cmmnctv.2009","personality__E_cmmnctv.2013","personality__E_reserved.2005","personality__E_reserved.2009","personality__E_reserved.2013","personality__E_sociable.2005","personality__E_sociable.2009","personality__E_sociable.2013","personality__N_dealStrss.2005","personality__N_dealStrss.2009","personality__N_dealStrss.2013","personality__N_nervous.2005","personality__N_nervous.2009","personality__N_nervous.2013","personality__N_worry.2005","personality__N_worry.2009","personality__N_worry.2013","personality__O_artExp.2005","personality__O_artExp.2009","personality__O_artExp.2013","personality__O_imagn.2005","personality__O_imagn.2009","personality__O_imagn.2013","personality__O_original.2005","personality__O_original.2009","personality__O_original.2013","predictor__currHealth_currHealth.2005","DOB","Sex","Age"
94,901,7,5,7,5,-1,5,6,5,8,4,3,4,5,5,4,5,5,6,5,6,5,4,4,3,6,-1,7,4,4,5,6,6,6,5,5,4,3,3,5,3,5,2,6,6,6,3,4,3,4,4,4,5,4,3,2,1951,2,54
124,1202,3,NA,NA,8,NA,NA,5,NA,NA,1,NA,NA,-1,NA,NA,7,NA,NA,4,NA,NA,1,NA,NA,7,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA,3,NA,NA,6,NA,NA,6,NA,NA,5,NA,NA,6,NA,NA,6,NA,NA,4,1913,2,92
230,2301,8,7,7,10,10,9,8,8,8,5,4,2,6,7,6,6,6,6,6,7,6,4,2,4,7,6,6,6,4,5,6,4,5,3,4,6,4,5,6,5,5,2,4,6,3,5,6,5,3,4,5,5,5,5,2,1946,1,59
230,2302,9,3,4,6,7,4,8,8,7,6,5,5,3,4,3,5,3,2,6,7,6,2,4,2,6,7,7,5,5,5,4,6,5,5,5,4,6,3,4,2,3,2,3,3,3,7,5,7,3,3,4,5,5,6,2,1946,2,59
230,2304,9,NA,NA,8,NA,NA,9,NA,NA,4,NA,NA,7,NA,NA,6,NA,NA,5,NA,NA,5,NA,NA,5,NA,NA,7,NA,NA,4,NA,NA,4,NA,NA,6,NA,NA,5,NA,NA,4,NA,NA,6,NA,NA,7,NA,NA,7,NA,NA,1,1978,1,27
469,4601,3,NA,NA,10,NA,NA,1,NA,NA,2,NA,NA,7,NA,NA,6,NA,NA,-1,NA,NA,1,NA,NA,6,NA,NA,6,NA,NA,6,NA,NA,2,NA,NA,2,NA,NA,6,NA,NA,7,NA,NA,4,NA,NA,3,NA,NA,4,NA,NA,4,1933,2,72
477,4701,7,5,NA,2,5,NA,4,7,NA,1,1,NA,5,5,NA,6,5,NA,6,6,NA,1,3,NA,6,6,NA,6,5,NA,4,5,NA,4,4,NA,5,5,NA,3,4,NA,3,5,NA,2,4,NA,4,5,NA,3,4,NA,3,1919,2,86
493,4901,7,4,8,9,8,9,7,5,6,2,4,4,4,2,5,6,6,5,5,6,5,2,-1,2,5,6,6,7,6,5,3,4,4,6,5,5,4,4,2,4,5,2,5,6,3,2,2,-1,3,4,2,5,4,2,3,1925,2,80
523,5201,5,3,3,4,5,5,3,4,5,2,6,4,7,7,6,6,5,6,7,6,6,1,6,5,7,7,7,5,6,4,4,3,4,2,5,6,6,6,6,2,3,3,6,5,4,4,4,3,5,6,6,6,5,5,4,1955,1,50
523,5202,6,4,4,6,5,4,7,5,6,3,2,2,4,3,6,6,6,6,6,6,6,3,5,6,6,7,7,5,4,5,6,6,4,5,4,5,4,2,4,5,5,6,5,6,7,5,4,4,6,6,5,5,5,3,3,1956,2,49
523,5203,5,7,4,6,5,5,6,6,5,3,3,3,6,6,7,5,6,5,6,4,5,4,3,5,6,3,7,7,5,7,4,3,3,5,4,6,3,2,4,3,2,4,2,5,2,3,2,6,6,5,7,4,4,2,3,1982,2,23
531,5302,5,NA,NA,9,NA,NA,10,NA,NA,1,NA,NA,7,NA,NA,7,NA,NA,6,NA,NA,2,NA,NA,5,NA,NA,7,NA,NA,2,NA,NA,7,NA,NA,6,NA,NA,2,NA,NA,2,NA,NA,5,NA,NA,4,NA,NA,4,NA,NA,3,1929,2,76
531,5303,8,8,4,4,6,6,7,6,6,2,1,3,4,5,5,6,6,7,4,6,5,5,7,6,4,2,4,5,4,5,6,6,4,4,3,5,4,6,5,4,3,2,6,5,5,4,5,5,6,6,6,4,5,5,2,1969,1,36
531,1056002,5,7,5,1,0,4,7,5,5,5,5,3,5,4,6,5,5,7,6,7,7,6,6,4,7,7,6,6,6,6,4,4,3,6,7,6,6,6,6,4,5,5,5,5,3,6,6,6,6,6,6,6,6,6,3,1973,1,32
531,1056003,NA,9,8,NA,8,7,NA,8,8,NA,6,6,NA,7,6,NA,4,5,NA,6,7,NA,3,3,NA,6,6,NA,6,6,NA,3,5,NA,6,6,NA,4,5,NA,3,2,NA,2,3,NA,6,6,NA,5,6,NA,5,5,NA,1975,1,30
566,5601,3,3,NA,5,8,NA,6,7,NA,4,2,NA,6,6,NA,7,6,NA,6,7,NA,1,1,NA,7,7,NA,7,7,NA,4,2,NA,7,7,NA,5,6,NA,1,1,NA,7,5,NA,7,4,NA,7,6,NA,5,6,NA,5,1937,2,68
574,5702,3,5,NA,5,5,NA,7,9,NA,7,5,NA,4,1,NA,6,5,NA,7,7,NA,1,1,NA,6,6,NA,4,2,NA,6,6,NA,4,2,NA,7,6,NA,7,1,NA,7,7,NA,5,2,NA,3,4,NA,3,2,NA,4,1939,2,66
574,1077202,10,8,6,2,3,7,7,8,7,2,5,7,4,4,6,6,6,6,5,6,7,1,1,1,5,7,7,5,6,7,6,6,5,4,4,7,6,7,4,2,1,4,7,4,4,6,4,4,6,5,3,4,2,5,1,1974,1,31
